MM,AM,BM,CM,MA,AA,BA,CA,MB,AB,BB,CB,MC,AC,BC,CC,DifA,DifB,DifC,DegA,DegB,DegC
0,0,0,0,0,0,5.431707545,-4.309755305,0,0,-0.6713885072,3.877038888,9.445247363,0,0,0,0.003077798296,0.07033668073,0.08320803241,0.04504940249,0.09929141356,0.03330914409
0,0,0,0,-7.238833245,0,0,7.029036835,0,4.284850941,0,-8.13967787,8.387070717,0,0,0,0.03834204963,0.008985609327,0.09620303303,0.1040989334,0.06531264187,0.05134896005
0,0,0,0,-5.444948138,0,0,1.024662333,0,-5.48997252,0.06019107272,5.622638303,8.685239319,0,0,0,0.009307275461,0.005128947038,0.05186102666,0.04625917857,0.06325756746,0.04346899555
0,0,0,0,-5.509278858,0,0,1.024662333,1.915351873,-5.48997252,0,5.622638303,8.685239319,0,0,0,0.006225609035,0.002389550882,0.008657748308,0.0385107558,0.05694631063,0.04188728431
0,0,0,0,-6.117060298,0,0,7.074736914,0,4.044726283,0.1481083814,-7.569953497,8.387070717,0,0,0,0.02870398118,0.003717536347,0.04937696457,0.1040989334,0.08096306143,0.05072443609
0,0,0,0,-3.98826696,0,0,0.9802740479,0,-7.753798069,0,8.227992746,8.378331184,0,0,0,0.01141718432,0.01532046779,0.02570935355,0.03381978058,0.1230659089,0.04879058983
0,0,0,0,-7.892629106,0,0,0.7641540503,0,-4.726351394,0,3.763670964,9.903676628,0,0,0,0.008350000534,0.002773196108,0.02096966288,0.0481126998,0.05568484814,0.03552289473
0,0,0,0,-9.886137781,0,0,7.43086085,0,4.766617817,0,-6.629309052,8.808658066,0,0,0,0.01721830146,0.002348380762,0.06992337203,0.1022336874,0.1384704931,0.04886860176
0,0,0,0,-5.614249751,0,0,0.9724026917,0,-9.946113489,0,8.445842239,8.676654178,0,0,0,0.0229921179,0.007900497375,0.05233723659,0.03479121311,0.1027013334,0.04921007954
0,0,0,0,0,-2.328498175,5.206446217,0,9.425112063,0,0,0,4.679542187,7.190324809,-9.013324095,1.632802747,0.04279258276,0.05122021221,0.03241886171,0.09682510313,0.04158608783,0.1132794344
0,0,0,0,-8.299027168,-0.6922369356,0,7.086073449,0,4.042099777,0,-3.716039743,9.136966237,0,0,0,0.06480787242,0.001745147744,0.02306636487,0.1266153453,0.06264259032,0.04261171652
0,0,0,0,-4.925314621,0,0,0.9802740479,0,-9.176617617,0,7.25466348,8.676654178,0,0,0,0.003054339577,0.003325935491,0.05042071506,0.03876309795,0.0459647311,0.04921007954
0,0,0,0,0,0.6116753705,4.327388027,-9.649249938,0,0,0.1240761679,4.445035051,9.379853603,0,0,0,0.008078207863,0.05728981333,0.03652838128,0.06551339773,0.09581607247,0.07131639202
0,0,0,0,0,2.039711271,3.07295302,-8.365371962,0,0,-0.3303669212,5.883262058,9.339280661,0,0,0,0.007870016351,0.07149117775,0.01701563874,0.1155535006,0.09133442336,0.0734352919
