"","MM","AM","BM","CM","MA","AA","BA","CA","MB","AB","BB","CB","MC","AC","BC","CC"
"122",0,0,0,0,9.642421288,0,2.352274788,0,9.25868609,0,0,0,0,6.152252973,-8.078470606,0
"123",0,0,0,0,4.7200343,0,5.465084345,0,8.60007526,0,0,0,0,2.928026658,-8.645048813,0.9469376841
"124",0,0,0,0,0,0,4.104918062,-6.307341473,0,0,0.2713160389,4.566431286,9.688357131,0,0,0
"125",0,0,0,0,0,0,5.315514926,-7.446082494,0,0,-0.8922943708,7.487089912,9.602971912,0,0,0
"126",0,0,0,0,0,0,3.91672203,-5.399324721,0,0,0.2713160389,4.728605527,9.560608872,0,0,0
"127",0,0,0,0,0,0,5.315514926,-7.586340763,0,0,-0.8377678223,7.663340053,9.604922301,0,0,0
"128",0,0,0,0,0,0,3.964658405,-5.292063934,0,0,0.2713160389,4.54522771,9.560608872,0,0,0
"129",0,0,0,0,9.920428996,0,0,0,3.045435725,2.192418661,0,0,0,-9.390259037,4.281630175,1.995388163
"130",0,0,0,0,9.486057023,0,0,0,0,3.170711501,0,0,0,-3.79786805,1.979348054,0
"131",0,0,0,0,9.920428996,0,0,0,3.045435725,2.192418661,0,0,0,-9.905030642,4.281630175,2.25188406
"132",0,0,0,0,9.996256248,0,0,0,3.258577648,2.342725242,0,0,0,-8.787845149,4.2273767,0
"133",0,0,0,0,9.853988773,0,0,0,0,3.232797199,0,0,0,-3.458343336,2.022351943,0
"134",0,0,0,0,9.787591978,0,0,0,2.381751124,2.565339577,0,0,0,-8.34010736,3.676981362,0
"135",0,0,0,0,6.541949479,0,0,0,0,-9.186549949,0.5832076221,2.07458193,0,5.053021514,0,0
"136",0,0,0,0,7.423112896,0,0,0,0,-9.962421102,0,3.976771646,4.821846482,3.572124769,0,0
"137",0,0,0,0,7.121860662,0,0,0,6.292058408,-6.877171924,0,2.216948174,0,4.705454421,0,0
"138",0,0,0,0,9.787591978,0,0,0,0,2.565339577,0,0,7.871134679,-8.34010736,3.676981362,1.07309201
"139",0,0,0,0,9.787591978,0,0,0,0,2.565339577,0,0,0,-8.475752476,3.676981362,1.574585025
"140",0,0,0,0,9.853435724,0,0,0,0,2.655743247,0,0,0,-6.902999979,3.596949897,0
"141",0,0,0,0,9.787591978,0,0,0,0,2.565339577,0,0,0,-6.636776589,3.676981362,0
"142",0,0,0,0,9.58471781,0,0,0,0,2.655743247,0,0,0,-6.902999979,3.596949897,0
"143",0,0,0,0,8.32318879,0,0,0,0,3.104207627,0,0,0,-8.826127926,2.881461939,1.165482482
"144",0,0,0,0,7.025611585,0,0,0,0,-7.493703013,0,1.649144811,0,4.884056553,0,0
"145",0,0,0,0,8.600088371,0,0,0,0,-7.24400363,-0.7595874128,8.649421704,0,3.313365657,0,0
"146",0,0,0,0,9.787591978,0,0,0,0,2.565339577,0,0,0,-8.475752476,3.676981362,1.774888837
"147",0,0,0,0,9.853988773,0,0,0,0,2.755127754,0,0,0,-3.458343336,2.022351943,0
"148",0,0,0,0,9.869706597,0,0,0,0,2.563794905,0,0,0,-6.89772178,3.676981362,2.937644677
"149",0,0,0,0,9.787591978,0,0,0,0,2.565339577,0,0,0,-7.4355659,3.676981362,0
"150",0,0,0,0,9.853988773,0,0,0,0,3.170711501,0,0,0,-3.458343336,2.022351943,0
"151",0,0,0,0,8.422074214,0,0,0,0,2.889068424,0,0,0,-9.286309446,3.213762549,5.053293968
"152",0,0,0,0,7.87321238,0,0,0,-1.954428572,4.119579489,-0.06852492228,0,0,-9.796702786,3.458618116,0
"153",0,0,0,0,8.050990496,0,0,0,0,-9.022743831,0.8874118353,4.663050366,3.932885938,2.688131514,0,0
"154",0,0,0,0,7.121860662,0,0,0,0,-7.093017874,0,2.19316346,0,4.856377474,0,0
"155",0,0,0,0,7.129966027,0,0,0,0,-9.742524216,0,3.555755935,7.320546964,2.997184163,0,0
"156",0,0,0,0,8.600088371,0,0,0,-5.303472865,-7.24400363,-0.7595874128,8.292366781,0,3.270017209,0,0
"157",0,0,0,0,0,0,-9.859517253,4.584200903,9.655456212,0,0,0,2.927533287,0,4.01870434,0
"158",0,0,0,0,0,0,-7.435972283,3.392841204,9.735829235,0,0,0,0,0,5.40179416,0
"159",0,0,0,0,0,0,-8.98223257,5.988196108,9.46905692,0,0,0,-9.483293484,0,5.253023227,0
"160",0,0,0,0,0,-2.015968842,0,8.379487567,0,5.082122564,0,-9.761135365,9.868794792,0,0,0
"161",0,0,0,0,0,-2.59413868,0,9.98120075,0,4.364143717,0.6087458108,-7.188526432,9.767504817,0,0,0
"162",0,0,0,0,0,0,3.881829769,0,9.475761355,0,0,0,-2.49886591,6.588125829,-8.741911741,0.4232861226
"163",0,0,0,0,0,0.4008646586,2.627923351,-8.572226193,3.565737327,0,0.4080575633,3.773818273,8.632247377,0,0,0
"164",0,0,0,0,0,0,4.7812617,-8.681309035,-7.16536735,0,0,8.683591894,9.536134584,0,0,0
"165",0,0,0,0,0,0,-4.846532877,2.931299866,9.860405869,0,0,0,0,0,3.97019854,0
"166",0,0,0,0,0,0,-8.702824402,4.54235723,9.909258846,0,0,0,0,0,4.343058267,0
"167",0,0,0,0,0,0,-2.506423869,2.674082949,9.910178997,0,0,0,0,0,2.997564449,0
"168",0,0,0,0,0,0,3.980849951,-5.015201406,0,0,0.2713160389,4.54522771,9.560608872,0,0,0
"169",0,0,0,0,0,0,5.315514926,-6.866027252,0,0,-0.8922943708,7.487089912,9.602971912,0,0,0
"170",0,0,0,0,0,0,4.779526156,-7.049343181,0,0,0,5.439343888,9.513538978,0,0,0
"171",0,0,0,0,0,0,4.616414847,-7.302880979,0,0,0.2713160389,5.233661676,9.513538978,0,0,0
"172",0,0,0,0,0,0,5.87602364,-7.586340763,0,0,-0.7408301294,8.609300442,9.496810354,0,0,0
"173",0,0,0,0,0,0,4.104918062,-6.170251528,0,0,0,5.439343888,9.688357131,0,0,0
"174",0,0,0,0,0,0,3.9898442,-4.211116416,-9.037209479,0,0,8.169330645,9.012953097,0,0,0
"175",0,0,0,0,0,0,4.767407332,-8.227248783,-9.668905891,0,0,9.205530651,9.536134584,0,0,0
"176",0,0,0,0,0,0,3.649470908,-4.728934557,-8.727093269,0,0,8.484750429,9.407138142,0,0,0
"177",0,0,0,0,0,0,-7.905750405,4.584200903,9.909258846,0,0,0,0,0,4.28292328,0
"178",0,0,0,0,0,0,-8.216322407,4.697480129,9.909258846,0,0,0,0,0,5.166821146,0
"179",0,0,0,0,0,0,-7.434585168,5.980798572,9.46905692,0,0,0,-9.243615642,0,5.066142707,0
"180",0,0,0,0,0,-1.446376044,6.73018801,0,9.125324748,0,0,0,0,7.264029342,-9.694626513,0
"181",0,0,0,0,0,-2.127968123,5.54197373,0,9.164523727,0,0,0,-2.785156653,7.116673123,-9.09098484,1.71160009
"182",0,0,0,0,0,0,3.780231101,0,8.742503002,0,0,0,0,5.204333013,-6.91948672,0
"183",0,0,0,0,-9.839814208,0.2488441615,4.968021406,-7.302880979,0,0,0.2713160389,5.233661676,9.513538978,0,0,0
"184",0,0,0,0,0,0,4.7812617,-8.681309035,-7.16536735,0,0,8.683591894,9.536134584,0,0,-0.05365687671
"185",0,0,0,0,0,0,-2.769936937,1.991290175,9.375977784,0,0,0,-7.005776921,0,3.318524845,0
"186",0,0,0,0,0,0,3.980849951,-5.015201406,0,0,0.2713160389,4.54522771,9.560608872,0,0,0
"187",0,0,0,0,0,0,4.939098863,-8.398899557,0,0,0.2713160389,5.439343888,9.513538978,0,0,0
"188",0,0,0,0,0,0,5.331568294,-8.77803575,-9.336897175,0,0,9.043371429,8.691800388,0,0,0
"189",0,0,0,0,-7.432645352,0,4.702801777,-7.402043481,-8.675316965,0,0,7.998866484,9.936031204,0,0,0
"190",0,0,0,0,-4.315798417,0,0,7.578941056,0,4.200488085,0,-6.437095714,8.395229178,0,0,0
"191",0,0,0,0,0,0,-7.772191216,3.998812599,9.579711184,0,0,0,0,0,5.117378514,0
"192",0,0,0,0,0,0,-9.076252607,5.988196108,9.46905692,0,0,0,-8.723178292,0,5.249953706,0
"193",0,0,0,0,-8.472974505,-2.665268497,6.884424987,0,9.960474927,0,0,0,0,6.954129648,-6.763102907,0
"194",0,0,0,0,0,0,5.87602364,-7.586340763,1.531612425,0,-0.8377678223,7.663340053,9.542340216,0,0,0
"195",0,0,0,0,0,0,4.939098863,-7.038533275,0,0,0.2713160389,5.439343888,9.513538978,0,0,0
"196",0,0,0,0,-9.624275357,-0.6371061938,4.586088128,-5.075534984,-7.391005041,0,0,9.449287919,9.307402388,0,0,0
"197",0,0,0,0,0,0,-7.791856169,4.706433504,9.366262019,0,0,0,-6.390838621,0,5.166821146,0
"198",0,0,0,0,9.758309832,0,1.933577898,0,9.490605286,0,0,0,8.277670242,3.137378705,-7.141532134,0.8561894961
"199",0,0,0,0,3.555556518,0.7417372027,1.26788797,0,9.543685581,0,0,0,5.358988313,4.891459611,-5.452145702,0
"200",0,0,0,0,4.7484234,0,5.383527375,0,8.60007526,0,0,0,0,3.126865533,-8.239217886,0.9063230616
"201",0,0,0,0,9.606824377,0,0,1.172618917,0,6.786040338,0,-5.391940373,9.242380116,0,0,0
"202",0,0,0,0,0,0,3.251730004,0,8.428290934,0,0,0,0,4.991843621,-7.959327851,2.550139939
"203",0,0,0,0,4.698777846,0,0,2.80334927,0,7.339125419,0,-9.387110183,9.513554667,0,0,0.06813625349
"204",0,0,0,0,4.659416414,0,0,2.80334927,7.197422587,7.658411162,0,-9.206448067,9.852124274,0,0,0.0317773243
"205",0,0,0,0,4.698777846,0,0,2.80334927,0,7.339125419,0.3622045375,-9.387110183,9.513554667,0,0,0
"206",0,0,0,0,4.698777846,0,0,2.80334927,0,7.339125419,0,-9.300599792,9.513554667,0,0,0
"207",0,0,0,0,3.158875846,0,0,2.908643726,0,7.339125419,0.7597703031,-8.942048688,9.513554667,0,0,0
